Gene Symbol	SO:0001619|non-coding_transcript_variant	SO:0001575|splice_donor_variant	SO:0001822|inframe_deletion	SO:0001587|nonsense	SO:0001627|intron_variant	SO:0001819|synonymous_variant	SO:0001582|initiator_codon_variant	SO:0002073|no_sequence_alteration	SO:0002153|genic_upstream_transcript_variant	SO:0001589|frameshift_variant	SO:0001623|5_prime_UTR_variant	SO:0002152|genic_downstream_transcript_variant	SO:0001820|inframe_indel	SO:0001578|stop_lost	SO:0001821|inframe_insertion	SO:0001624|3_prime_UTR_variant	SO:0001574|splice_acceptor_variant	SO:0001583|missense_variant
DDIT3	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	4
AGTR1	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ORAI2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3
VOPP1	0	0	0	0	5	5	0	0	0	0	2	0	0	0	0	0	0	11
SF1	0	0	0	0	16	3	0	0	0	1	2	0	0	0	0	3	0	22
ZNF28	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	29
SET	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	3
COL13A1	0	5	0	3	77	48	0	0	0	5	99	0	0	0	0	0	1	81
AASDH	0	0	0	0	19	2	0	0	0	0	13	0	0	0	0	4	0	27
SHMT2	34	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	30
NPRL2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
SHMT1	1	0	0	0	3	1	2	0	0	0	5	0	0	0	0	0	0	6
NPRL3	0	3	1	14	47	36	0	1	0	13	123	0	0	0	0	0	6	80
ZNF20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ZNF23	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2
ADAMTS12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ZNF24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
ZNF25	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	12
ADAMTS10	0	0	0	1	11	21	0	0	0	2	3	0	0	0	0	0	0	28
ADAMTS16	54	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	53
LARP1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
ADAMTS13	224	0	1	3	32	67	0	2	0	14	5	0	2	0	1	3	0	166
ADAMTS18	0	0	1	7	1	85	0	0	0	0	127	0	0	0	0	0	0	119
RDH16	0	0	0	0	4	2	0	0	0	0	5	0	0	0	0	0	0	11
RDH14	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	5	0	15
RDH13	20	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	18
GSTM4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
GSTM3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
PRPF38B	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3
GSTM2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSTM1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
NEBL	1	11	6	19	588	161	1	0	0	20	10	0	0	1	1	24	9	383
LARP7	25	4	2	0	10	6	0	0	0	12	14	0	0	0	0	0	1	18
ZNF34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
LARP4	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	1	0	10
L1CAM	3	1	0	1	6	0	2	0	0	0	0	0	0	0	0	0	1	2
LARP6	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	10
DHFR	482	5	8	7	42	121	7	0	0	21	453	0	0	0	29	4	0	253
MOV10	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1
PPFIBP1	0	0	0	1	9	0	1	0	0	0	5	0	0	0	0	0	0	14
PPFIBP2	60	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	60
LAS1L	127	1	4	1	16	39	0	0	0	0	43	0	0	0	0	0	0	86
STRC	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
FXYD3	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	4
FXYD2	0	0	0	1	12	16	0	0	0	0	2	0	0	0	0	8	0	11
ZNF30	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
SFXN3	13	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	12
SFXN4	57	0	0	3	0	19	0	2	0	5	3	0	0	0	0	6	0	20
SFXN1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	3
FXYD6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
SFXN2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
FXYD5	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	10
SFXN5	19	0	0	0	12	7	0	0	0	0	5	0	0	0	0	1	0	19
SPMAP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNC1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
KCNC2	12	0	0	0	6	0	0	0	0	1	0	0	0	0	0	3	0	15
KCNC3	30	0	1	3	0	16	2	0	0	2	42	0	0	0	1	1	0	50
KCNC4	30	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	29
PRKAG1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3
PRKAG2	1	4	1	0	69	37	1	0	0	0	64	0	2	0	2	3	6	33
ZNF44	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	4
ZNF48	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	11
BBC3	0	0	0	1	10	7	0	0	0	0	0	0	0	0	0	2	0	11
SHF	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	3	0	14
SHE	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
SHH	40	1	7	19	162	50	1	0	0	9	0	0	0	0	4	10	0	105
GLT1D1	12	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	11
MMP25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MMP24	0	0	0	0	26	1	0	0	0	0	0	0	0	0	0	0	0	25
MMP26	0	0	0	0	142	0	0	0	0	0	3	0	0	0	0	0	0	145
MMP28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ZNF41	0	0	0	0	9	1	0	0	0	0	7	0	0	0	0	0	1	9
NEFL	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NEFM	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
NEFH	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
MYBPC3	0	2	0	1	0	0	3	0	0	0	0	0	0	0	1	0	2	3
MYBPC1	0	0	1	0	9	4	0	0	0	1	0	0	0	1	0	3	0	5
GSTO2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2
KCND3	0	0	0	1	13	3	0	0	0	2	2	0	0	0	0	0	0	5
GSTO1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
TOMM40L	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
TMEFF1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
MMP11	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	28
MMP13	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
MMP17	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8
RAPGEF2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
PTRH1	33	0	0	0	5	2	0	0	0	0	0	0	0	0	0	13	0	33
MMP19	31	0	0	2	11	2	0	1	0	0	0	0	0	0	0	10	0	26
RAPGEF5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4
CRYAA	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
RAPGEF6	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
CRYAB	3	0	0	0	12	0	4	0	0	2	3	0	0	0	0	0	1	11
RAPGEF3	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	4
RAPGEF4	37	0	0	0	9	6	0	0	0	0	2	0	0	0	0	1	0	31
TRUB2	0	0	0	0	4	1	0	0	0	0	8	0	0	0	0	0	0	7
PKN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
SYNPO2	0	0	0	0	39	6	0	0	0	0	8	0	0	0	0	9	0	48
KCNA1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
KCNA2	0	2	1	3	170	43	0	0	0	5	0	0	0	0	1	34	0	100
KCNA3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ADAM22	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	0	0	5
CCM2L	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
KCNA5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
KCNA6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
SDAD1	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	4
ZNF69	0	0	0	0	1	1	0	0	0	0	7	0	0	0	0	0	0	7
ADAM28	32	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	31
PLAGL1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
STX6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
STX5	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	4
STX4	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2
STX3	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	5
STX2	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7
BID	0	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	7
SPDEF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EGLN1	0	0	1	1	55	39	2	0	0	0	0	0	0	1	0	41	0	45
MBD3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MBD4	0	1	1	5	46	5	0	0	0	4	0	0	0	0	0	3	0	37
MBD5	0	0	0	0	12	4	1	0	0	0	2	0	0	0	0	0	0	7
EGLN3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EGLN2	479	0	0	0	0	237	0	0	0	0	1	0	0	0	0	0	0	241
PKLR	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0
MCRS1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	5
MBD1	0	0	0	0	6	1	0	0	0	0	7	0	0	0	0	0	0	11
BMP8A	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ADAM33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BMP8B	0	0	0	0	24	2	0	0	0	0	0	0	0	0	0	2	0	24
ZNF76	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ADAM32	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ZNF79	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	10
TARBP2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ARCN1	0	0	1	2	16	5	0	0	0	1	0	0	0	0	0	0	0	7
ZNF74	30	0	0	0	3	5	0	0	0	0	4	0	0	0	0	17	0	30
PKN2	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	5
MITD1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	5
MTCH1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
MTCH2	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	8
PDCD6	4	0	0	0	7	0	0	0	0	0	4	0	0	0	0	1	0	12
FBXO28	17	0	0	1	3	0	0	0	0	4	0	0	0	0	0	10	0	12
GOLIM4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SLA	0	0	0	0	42	9	0	0	0	1	6	0	0	0	0	0	0	32
MSI1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
IL1RAP	10	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	7
FBXO24	15	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	14
FBXO22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
POTEM	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
PTAR1	8	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	9
POFUT2	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	17
MYBPHL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FNTA	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10
POFUT1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
FNTB	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
NFATC2IP	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	13
TNFRSF8	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2
NEK1	390	1	0	21	55	100	0	0	0	23	11	0	0	0	0	20	1	215
NEK2	0	0	0	1	26	6	0	0	0	1	0	0	0	0	0	0	1	17
NEK3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
POTEG	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
MAP3K9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
TNFRSF4	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	2	3
MAP3K7	0	0	0	0	13	9	0	0	0	0	0	0	0	0	0	6	0	12
MAP3K4	53	0	0	0	5	0	0	0	0	0	28	0	0	0	0	0	0	53
FADS1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1
POTEB	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KCNH1	0	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3
KCNH2	532	8	22	14	80	458	2	0	0	16	27	0	31	0	10	3	4	89
FBXW4	66	0	1	1	25	14	0	0	0	2	0	0	0	0	2	10	0	36
KCNH3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
KCNH5	0	0	0	4	31	66	0	0	0	2	0	0	0	0	0	174	0	139
DGAT1	5	1	0	1	4	0	1	0	0	2	0	0	0	0	0	0	1	0
FBXW8	5	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	9
KCNH6	0	0	0	0	4	1	0	0	0	0	6	0	0	0	0	0	0	9
FBXW7	3	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	4
FBXO16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
STX8	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10
STX7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
FBXO17	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16
FBXO15	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7
FBXO11	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2
FBXW2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
PIAS2	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	16
MSH6	401	43	42	141	942	555	17	14	0	232	1541	0	41	7	22	26	39	1062
NPAS4	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	5
MINPP1	0	0	0	1	5	1	0	0	0	2	0	0	0	0	0	11	0	12
MSH2	276	80	17	62	448	254	31	0	2	123	235	0	29	0	12	29	74	312
DMTF1	20	0	0	0	1	2	1	0	0	0	3	0	0	0	0	0	0	18
MSH3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MSH5	36	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	31
PKP2	0	10	1	6	99	39	5	0	0	3	12	0	2	0	2	0	7	68
SMS	0	0	0	0	8	1	1	0	0	0	0	0	0	0	0	0	0	8
PKP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
PKP4	19	1	0	0	17	51	0	0	0	0	80	0	0	0	0	0	0	62
PKP3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
BLK	0	0	0	0	14	12	0	0	0	0	14	0	0	0	0	0	0	16
BLM	0	7	13	49	301	292	6	0	0	69	875	0	3	0	5	0	3	715
KCNE1	0	1	0	0	10	0	1	0	0	0	9	0	0	0	0	0	0	1
KCNE2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
KCNE3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ZC4H2	112	1	3	9	35	31	2	0	0	12	7	0	0	0	0	1	1	65
IREB2	0	0	0	1	8	5	0	0	0	1	25	0	0	0	0	11	1	31
GSTT1	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	3
FBXO43	18	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	14
FBXO44	7	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	10
CES5A	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
NPAS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	7
CCDC144A	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
RAP1B	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	1	3
NDOR1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3
ZKSCAN7	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
ZKSCAN8	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7
ZKSCAN3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
MBIP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ZKSCAN5	0	0	0	0	2	2	0	0	0	0	9	0	0	0	0	0	0	9
BMF	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5
ZKSCAN4	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	5
TSNAXIP1	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	17
CERT1	0	0	2	1	9	6	1	0	0	2	21	0	0	0	0	0	0	20
ZKSCAN1	23	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	23
NEK8	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
NEK9	0	1	1	1	15	6	0	0	0	0	6	0	0	0	0	0	0	14
NOP14	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8
NEK4	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	4
NOP16	6	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	6
API5	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3
NEK5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FBXO38	0	0	1	0	97	19	1	0	0	0	0	0	0	0	0	0	1	77
NEK6	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	4
RFXANK	0	1	0	0	32	6	0	0	0	0	0	0	0	0	0	21	2	19
FBXO32	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
BMX	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
G6PC1	0	0	4	23	34	108	0	0	0	11	0	0	1	1	1	150	0	113
FBXO31	0	0	0	0	13	10	0	0	0	0	6	0	0	0	0	0	0	9
G6PC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	5
LRCH2	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	68
LRCH1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
G6PC3	0	2	3	7	84	64	1	0	0	7	77	0	1	0	1	72	0	119
SON	863	0	38	30	829	234	0	1	0	73	0	0	26	0	10	0	1	498
SP1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2
SP4	3	0	0	1	0	0	0	0	0	1	19	0	0	0	0	0	0	17
SP7	0	0	0	0	5	1	1	0	0	0	4	0	0	0	0	0	0	1
LRCH4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10
MNAT1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SP9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
LRCH3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
NOP10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
SLC49A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BCAR3	17	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	17
PIWIL2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
PIWIL1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
KCNK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
PIWIL4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALAS2	0	0	0	0	6	2	1	0	0	0	0	0	0	0	0	0	0	4
PIWIL3	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	47
KCNK9	42	0	1	3	0	9	0	0	0	0	0	0	0	0	0	0	0	29
MTCL1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
MTCL2	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	22
MTCL3	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ONECUT1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
DYSF	0	3	1	2	32	7	2	0	0	3	2	0	0	0	0	0	5	17
HTR2B	0	0	0	1	21	2	0	0	0	0	4	0	0	0	0	0	0	18
PPWD1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2
HTR2C	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	10	0	9
NENF	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
HTR2A	0	1	0	0	7	3	0	1	0	0	1	0	0	0	0	0	0	3
MSLN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BICD1	23	0	0	0	5	4	0	0	0	0	0	0	0	0	0	1	0	21
BICD2	0	2	0	0	19	6	1	0	0	0	0	0	0	0	0	3	0	13
TNFSF13B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BMP15	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
UNC80	0	1	0	2	9	2	2	0	0	0	0	0	0	0	0	0	0	8
SPR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PRADC1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
BOC	53	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	49
SPX	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SPDL1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	6
NEO1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MSMB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MBL2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
BCAS1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
SLC36A1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
UNC45A	20	1	0	3	23	23	0	0	0	1	70	0	0	0	1	0	0	55
BCAS4	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	7
UNC45B	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	8
BCAS3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	4
CERS5	13	0	0	0	0	1	0	0	0	0	6	0	0	0	0	2	0	12
HTR3E	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
RNASET2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
VPS13C	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	1	0	5
VPS13D	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
DHPS	25	1	1	0	3	1	1	0	0	2	14	0	0	0	0	0	1	22
MSL2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
VPS13A	21	0	3	4	34	24	1	0	0	5	1	0	0	0	1	4	0	5
HTR3D	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	0	0	15
